menu_key,name,room_type,meal,grade,adults,children,nights,list_price,benefit_price,coupon_code,coupon_price,member_url
H-ALIVILA,デラックス（2食付）,和洋室,2食付き,deluxe,2,0,1,38000,28500,H-ALIVILA-2,28000,https://example.com/member/h-alivila
H-ALIVILA,素泊まり,洋室,なし,standard,2,0,1,18000,14400,H-ALIVILA-3,13900,https://example.com/member/h-alivila
L-YUNESSUN,入場（大人1名）,,,,1,0,1,3500,2400,L-YUNESSUN-1,2400,https://example.com/member/l-yunessun
L-HAKONEEN,入場（大人1名）,,,,1,0,1,2500,1800,L-HAKONEEN-1,1800,https://example.com/member/l-hakoneen
L-ATAMIJO,入場（大人1名）,,,,1,0,1,2500,1800,L-ATAMIJO-1,1800,https://example.com/member/l-atamijo
L-KYOTOAQ,入場（大人1名）,,,,1,0,1,5000,3500,L-KYOTOAQ-1,3500,https://example.com/member/l-kyotoaq
L-CHURAUMI,入場（大人1名）,,,,1,0,1,2500,1800,L-CHURAUMI-1,1800,https://example.com/member/l-churaumi
M-YAMAGUSURI,コース（1名）,,,,1,0,1,3000,2400,M-YAMAGUSURI-1,2400,https://example.com/member/m-yamagusuri
M-MAGUROYA,コース（1名）,,,,1,0,1,6000,4800,M-MAGUROYA-1,4800,https://example.com/member/m-maguroya
M-TOKUYA,コース（1名）,,,,1,0,1,4500,3600,M-TOKUYA-1,3600,https://example.com/member/m-tokuya
